date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:10	35875/35875	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2008:34:09%20GMT	https://preview.colorlib.com/theme/buildream/index.html	/home/kumartej/websites/construction1/preview.colorlib.com/theme/buildream/index.html	(from )
14:04:11	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
14:04:12	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Sep%202022%2008:34:11%20GMT	https://fonts.gstatic.com/	/home/kumartej/websites/construction1/fonts.gstatic.com/index.html	(from https://preview.colorlib.com/theme/buildream/index.html)
14:04:12	1420/1420	---MC-	200	added ('OK')	text/css	date:Mon,%2019%20Sep%202022%2008:34:11%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500;600;700;800&family=Prata&display=swap	/home/kumartej/websites/construction1/fonts.googleapis.com/css26d21.css	(from https://preview.colorlib.com/theme/buildream/index.html)
14:04:13	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/kumartej/websites/construction1/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/buildream/index.html)
14:04:14	46591/46591	---M-Z	200	added ('OK')	text/css	etag:%225eb03eae-b5ff%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	/home/kumartej/websites/construction1/cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	(from https://preview.colorlib.com/theme/buildream/index.html)
14:04:15	136326/136326	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/buildream/css/A.animate.css+flaticon.css+tiny-slider.css+glightbox.min.css+aos.css+style.css,Mcc.Ay-TJ4EX-U.css.pagespeed.cf.sppwSR2SOM.css	/home/kumartej/websites/construction1/preview.colorlib.com/theme/buildream/css/A.animate.css+flaticon.css+tiny-slider.css+glightbox.min.css+aos.css+style.css,Mcc.Ay-TJ4EX-U.css.pagespeed.cf.sppwSR2SOM.css	(from https://preview.colorlib.com/theme/buildream/index.html)
14:04:15	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2019%20Sep%202022%2008:34:15%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	/home/kumartej/websites/construction1/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/buildream/index.html)
14:04:17	21010/21010	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2008:34:16%20GMT	https://preview.colorlib.com/theme/buildream/about.html	/home/kumartej/websites/construction1/preview.colorlib.com/theme/buildream/about.html	(from https://preview.colorlib.com/theme/buildream/index.html)
14:04:18	12293/12293	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202022%2008:34:17%20GMT	https://preview.colorlib.com/theme/buildream/services.html	/home/kumartej/websites/construction1/preview.colorlib.com/theme/buildream/services.html	(from https://preview.colorlib.com/theme/buildream/index.html)
